사번,논문제목,게재년월,저자역할,val_title,val_rank,,
191144,Immunophenotype and Immune-Modulatory Activities of Human Fetal Cartilage-Derived Progenitor Cells,201904,공동,valid,valid,,
191145,남한의 경제자유구역 운영경험과 북한에 주는 법적 시사점,201902,제1저자,unknown--,unknown--,,
191145,AI 로봇의 법적 지위에 대한 쟁점과 과제 - Bryson 등의 법인격 이론을 중심으로 -,201908,제1저자,unknown--,unknown--,,
191145,행정조사제도의 실무적 절차와 쟁점 - 일본의 독점금지법상 조사절차를 중심으로 -,201912,제1저자,unknown--,unknown--,,
191145,미국의 행정조사제도와 연방거래위원회의 조사절차,201912,제1저자,unknown--,unknown--,,
191145,하자있는 행정조사와 행정행위의 효과- 일본의 판례와 학설을 중심으로-,201909,제1저자,unknown--,unknown--,,
191148,"Configuration spaces, moduli spaces and 3-fold covering spaces",201911,제1저자,valid,invalid,,
191150,Noncovalent Immobilization of Palladium Complex onto Reduced Graphene Oxide: A Highly Efficient and Recyclable Catalyst for Suzuki Reaction,201906,corresponding author,valid,valid,,
191150,A Graphene Oxide Nanosheet Supported NHC-Palladium Complex as a Highly Efficient and Recyclable Suzuki Coupling Catalyst,201903,corresponding author,valid,valid,,
191150,Synthesis of novel and room temperature-operable palladium complexes on graphene oxide: An efficient recyclable catalyst for Suzuki-Miyaura coupling reactions,201903,공동,valid,valid,,
191150,Nanogap Engineering for Enhanced Transmission of Wire Grid Polarizers in Mid-Wavelength Infrared Region,201903,공동,valid,valid,,
191151,Inhibition of Autolysosome Formation Improves rrhGAA Production Driven by RAmy3D Promoter in Transgenic Rice Cell Culture,201906,corresponding author,valid,invalid,,
191151,CHO 세포 배양에서 Hexose 혼합 비율 조절에 의한Albumin-erythropoietin의 Sialylation 증대,201906,corresponding author,unknown--,unknown--,,
191151,Production of recombinant human acid beta-glucosidase with high mannose-type N-glycans in rice gnt1 mutant for potential treatment of Gaucher disease,201906,corresponding author,valid,invalid,,
191151,Evaluating the impact of suramin additive on CHO cells producing Fc-fusion protein,201911,corresponding author,valid,valid,,
191179,Mixture separability loss in a deep convolutional network for image classification,201901,corresponding author,valid,valid,,
191179,Online multiple object tracking using confidence score-based appearance model learning and hierarchical data association,201904,corresponding author,valid,valid,,
191179,Presentation Attack Detection Using a Tiny Fully Convolutional Network,201905,corresponding author,valid,valid,,
191179,Deep CT to MR synthesis using paired and unpaired data,201905,corresponding author,valid,valid,,
191179,DC(2)Anet: Generating Lumbar Spine MR Images from CT Scan Data Based on Semi-Supervised Learning,201906,corresponding author,unknown--,unknown--,,
191179,Feasible Self-Calibration of Larger Field-of-View (FOV) Camera Sensors for the Advanced Driver-Assistance System (ADAS),201908,corresponding author,valid,valid,,
191179,자율주행 자동차 환경에서의 3D-LiDAR 와 딥러닝을 이용한 클러스터링 후보군 기반 실시간 객체 검출,201909,corresponding author,unknown--,unknown--,,
191179,카메라와 라이다의 객체 검출 성능 향상을 위한 Sensor Fusion,201907,corresponding author,unknown--,unknown--,,
191179,ADAS용 다중화각 카메라를 이용한 객체 인식 향상,201907,corresponding author,unknown--,unknown--,,
191179,디자인과 소프트웨어 융합전공의 프로그램 학습성과 평가체계개발,201911,corresponding author,unknown--,unknown--,,
191179,Conditional Generative Adversarial Network를 이용한 이미지 방사 왜곡 보정 영상 생성,201911,corresponding author,unknown--,unknown--,,
191188,AMPK Alters Detrusor Contractility During Emptying in Normal Bladder and Hypertrophied Bladder with Partial Bladder Outlet Obstruction via CaMKK,201906,corresponding author,unknown--,unknown--,,
191188,Bupivacaine-induced contraction is attenuated by endothelial nitric oxide release modulated by activation of both stimulatory and inhibitory phosphorylation (Ser1177 and Thr495) of endothelial nitric oxide synthase,201906,corresponding author,valid,invalid,,
191188,Three-Dimensional Reconstruction of Neurovascular Network in Whole Mount Preparations and Thick-Cut Transverse Sections of Mouse Urinary Bladder,201908,공동,valid,valid,,
191188,Korean medical students' attitudes toward academic misconduct: A cross-sectional multicenter study,201912,공동,valid,valid,,
191188,Etlingera pavieana  extract attenuates TNF?α induced vascular adhesion molecule expression in?human endothelial cells through?NF?κB and?Akt/JNK pathways,201912,공동,valid,valid,,
192001,Robust position control and disturbance rejection of an industrial plant emulator system using the feedforward-feedback control,201902,공동,valid,valid,,
192005,A CMOS PFM buck converter employing a digitally programmable voltage level-shifting technique,201902,corresponding author,valid,valid,,
192005,A CMOS Fourth-order Delta-sigma Modulator with a Single Reconfigurable Fully Differential Amplifier,201904,corresponding author,valid,valid,,
192007,Two person Interaction Recognition Based on Effective Hybrid Learning,201902,corresponding author,valid,valid,,
192007,Hierarchical Open-Set Object Detection in Unseen Data,201910,corresponding author,valid,valid,,
192009,Heat Adaptation Improved Cell Viability of Probiotic Enterococcus faecium HL7 upon Various Environmental Stresses,201903,corresponding author,valid,valid,,
192009,Lactobacillus salivarius MG242의 열 전처리시 생존율 증진 및 항 캔디다 효과,201905,corresponding author,unknown--,unknown--,,
192009,가금류의 Salmonella gallinarum 감염에 대한 Lactobacillus paracasei KLB58의 방어능,201905,corresponding author,unknown--,unknown--,,
192009,Isolation of benzene tolerant bacteria and production of organic solvent stable enzymes from Bacillus species,201903,corresponding author,valid,invalid,,
192024,Ring of Four Almonds and the Omar Khayyam's Triangle in Islamic Art Design,201908,제1저자,unknown--,unknown--,,
192025,Competition-induced increase of species abundance in mutualistic networks,201903,corresponding author,valid,invalid,,
192025,행위자 기반 모형을 활용한 미래연구 방법론의 고찰,201906,제1저자,unknown--,unknown--,,
192025,복잡 적응계와 미래연구,201906,제1저자,unknown--,unknown--,,
192028,Parametric geometry analysis for circular-aperture off-axis parabolic mirror segment,201905,corresponding author,valid,valid,,
192035,Brazing Characteristics and Bonding Strength of Pure Titanium Joints Brazed with Low-Melting Temperature Zi-17Ti-22Ni Filler Metal,201903,corresponding author,unknown--,unknown--,,
192035,Study of Dynamic Behavior of Magnetostrictively Patterned Flexible Micro-Wings,201902,제1저자,valid,valid,,
192035,Effect of Heat Treatment on Crack Propagation and Performance of Disk Brake with Cross Drilled Holes,201902,corresponding author,valid,valid,,
192035,Effects of Freeze-Thaw Thermal Cycles on the Mechanical Degradation of the Gas Diffusion Layer in Polymer Electrolyte Membrane Fuel Cells,201903,corresponding author,valid,valid,,
192035,Quasi-static compressive behaviour of aluminium cenosphere syntactic foams,201904,공동,valid,valid,,
192035,The influence of graphene on the dynamic mechanical behaviour of shear thickening fluids,201910,공동,valid,valid,,
192035,A Three-Dimensional Finite Element Analysis Model for SH-SAW Torque Sensors,201910,corresponding author,valid,valid,,
192035,An experimental investigation of three-dimensional mechanical characteristics of gas diffusion layers in proton electrolyte membrane fuel cells,201907,corresponding author,valid,valid,,
192035,Establishing RVE model composed of dry fibers and matrix for 3D four-directional braided composites,201906,공동,valid,valid,,
192037,Effects of sodium hypochlorite concentration on the methanogenic activity in an anaerobic fluidized membrane bioreactor,201904,corresponding author,valid,valid,,
192037,A comparative pilot-scale evaluation of gas-sparged and granular activated carbon-fluidized anaerobic membrane bioreactors for domestic wastewater treatment,201906,공동,valid,valid,,
192038,Light-weight implementation of SSL for secure remote healthcare system,201901,제1저자,valid,invalid,,
192040,소아 급성림프모구백혈병에서 발생한 거대세포바이러스 감염 2예,201910,corresponding author,unknown--,unknown--,,
192042,Autour des origines et de la conception de la recette de la poule au pot en France au dix-septieme siecle,201909,제1저자,unknown--,unknown--,,
193003,Cyclic iRGD peptide as a dual-functional on-off gatekeeper of mesoporous nanocontainers for targeting NRP-1 and selective drug release triggered by conformational conversion,201901,corresponding author,valid,invalid,,
193003,Stimuli-Responsive Structural Transformation of Self-Assembled Dendron-Peptide Conjugate and Its Triggered Cargo Release,201901,corresponding author,valid,valid,,
193003,Specific HER2 targeting and triggered drug release by conformational transformation of a dual-functional peptide gatekeeper on mesoporous nanocontainers,201908,corresponding author,valid,invalid,,
193006,Glucosamine improves survival in a mouse model of sepsis and attenuates sepsis-induced lung injury and inflammation,201901,공동,valid,valid,,
193006,An alpha-lipoic acid-decursinol hybrid compound attenuates lipopolysaccharide-mediated inflammation in BV2 and RAW264.7 cells,201910,공동,valid,valid,,
193014,"Accessory Nerves of the Forehead: A Newly Discovered Frontotemporal Neurovascular Bundle and Its Implications in the Treatment of Frontal Headache, Migraine Surgery, and Cosmetic Temple Filler Injection",201901,제1저자,valid,invalid,,
193014,The Aging Surgeon and the Secret of Longevity,201901,제1저자,valid,valid,,
193014,Robbing Peter to Pay Paul,201901,제1저자,valid,invalid,,
193014,Suturing a Vomer Flap to the Hard Palate Through a Hole When the Nasal Lining is Not Available,201901,제1저자,valid,valid,,
193014,Arterial Vascularization of the Mandibular Condyle and Fractures of the Condyle,201902,제1저자,valid,invalid,,
193014,Microanatomy of Sensory Nerves in the Upper Eyelid: A Cadaveric Anatomical Study,201902,제1저자,valid,invalid,,
193014,Stiff Twin Compasses: Anatomy and Plastic Surgery,201903,제1저자,valid,valid,,
