영문명(추가),성명,제목,저자수,게재면,역할,val_title,val_pages,val_rank
Tae Woong Kim,김태웅,Quantitative fraction analysis of coexisting phases in a polycrystalline CH3NH3PbI3 perovskite,5,101401,제1저자,valid,valid,valid
Tae Woong Kim,김태웅,Transmission electron microscopy observation of crystal twinning in periodically inverted AlGaAs grown by low-temperature molecular beam epitaxy,4,100306,제1저자,valid,valid,valid
Tae Woong Kim,김태웅,Direct Observation of the Tunneling Phenomenon in Organometal Halide Perovskite Solar Cells and Its Influence on Hysteresis,5,2743-2749,제1저자,valid,valid,valid
Tae Woong Kim,김태웅,Robust PbI6 Framework of Organometal Halide CH3NH3PbI3 Perovskite Observed by High Resolution Transmission Electron Microscopy,4,26-27,교신저자,valid,valid,invalid
Tae Woong Kim,김태웅,Design of BCP buffer layer for inverted perovskite solar cells using ideal factor,5,31117,공동저자,valid,invalid,valid
Tae Woong Kim,김태웅,Microstructural investigation of a compact TiO2 layer for improvement of perovskite solar cells,4,53902,제1저자,valid,invalid,valid
Tae Woong Kim,김태웅,Optimization of TiO2 compact layer formed by atomic layer deposition for efficient perovskite solar cells,4,203902,제1저자,valid,valid,valid
Bonjae Koo,구본재,Enhanced oxygen exchange of perovskite oxide surfaces through strain-driven chemical stabilization,6,71-77,제1저자,valid,valid,valid
Bonjae Koo,구본재,"Controlling the size of Pt nanoparticles with a cationic surfactant, CnTABr",4,2010-2015,공동저자,valid,valid,valid
Bonjae Koo,구본재,"Study of the surface reaction kinetics of (La,Sr) MnO3-δ oxygen carriers for solar thermochemical fuel production",6,13082-13089,공동저자,valid,valid,valid
Bonjae Koo,구본재,Growth Kinetics of Individual Co Particles Ex-solved on SrTi0.75Co0.25O3-δ Polycrystalline Perovskite Thin Films,9,6690-6697,제1저자,unknown--,unknown--,unknown--
Bonjae Koo,구본재,Exceptional Tunability over Size and Density of Spontaneously Formed Nanoparticles via Nucleation Dynamics,7,24039-24047,공동저자,valid,valid,valid
Bonjae Koo,구본재,Sintering-resistant platinum electrode achieved through atomic layer deposition for thin-film solid oxide fuel cells,10,155347,공동저자,valid,valid,valid
Bonjae Koo,구본재,Sr segregation in perovskite oxides: why it happens and how it exists,6,1476-1499,제1저자,invalid (0.88),valid,valid
Bonjae Koo,구본재,Study on control of surface cation enrichment in perovskite-type oxides for energy conversion devices,1,1-91,,unknown--,unknown--,unknown--
Gwang-Hyeon Nam,남광현,Quasi-Stem Cells Derived from Human Somatic Cells by Chemically Modified Carbon Nanotubes,6,8417-8425,공동저자,valid,valid,valid
Gwang-Hyeon Nam,남광현,High phase-purity 1T′-MoS2 and 1T′-MoSe2 layered crystals,22,638-643,제1저자,valid,valid,invalid
Gwang-Hyeon Nam,남광현,Preparation of 1T′-Phase ReS2xSe2(1-x) (x = 0-1) Nanodots for Highly Efficient Electrocatalytic Hydrogen Evolution Reaction,15,8563-8568,공동저자,unknown--,unknown--,unknown--
Gwang-Hyeon Nam,남광현,In-Plane Anisotropic Properties of 1T′-MoS2 Layers,14,1807764,제1저자,valid,valid,valid
Gwang-Hyeon Nam,남광현,Modulation of semiconducting behavior in carbon nanotube Langmuir-Blodgett film based devices by controlling the effective channel dimension,7,540-544,제1저자,valid,valid,valid
Gwang-Hyeon Nam,남광현,Quest for p-Type Two-Dimensional Semiconductors,6,12294-12300,공동저자,valid,valid,valid
Gwang-Hyeon Nam,남광현,Ag@MoS2 Core-Shell Heterostructure as SERS Platform to Reveal the Hydrogen Evolution Active Sites of Single-layer MoS2,21,7161-7167,공동저자,valid,valid,valid
Gwang-Hyeon Nam,남광현,BIOSENSOR BASED ON CARBON NANOTUBE - ELECTRIC FIELD EFFECT TRANSISTOR AND METHOD FOR PRODUCING THE SAME,4,US9880126,공동,unknown--,unknown--,unknown--
Gwang-Hyeon Nam,남광현,Phase-controlled synthesis for 1T’ phase MoS2 and MoSe2 crystals,1,1-79,,invalid (0.55),invalid,unknown++
SEO JUN SUNG,서준성,ELF18-INDUCED LONG NONCODING RNA associates with Mediator to enhance expression of innate immune response genes in Arabidopsis.,7,1024-1038,제1저자,valid,valid,valid
SEO JUN SUNG,서준성,UBP12/13 Positively Regulate MYC2 Levels in Jasmonate Responses,5,1406-1424,공동저자,unknown--,unknown--,unknown--
SEO JUN SUNG,서준성,Arabidopsis NLA regulates ORE1 homeostasis during senescence induced by nitrogen deficiency,7,898-903,공동저자,invalid (0.85),valid,valid
SEO JUN SUNG,서준성,Chloroplast-selective gene delivery and expression in planta using chitosan-complexed single-walled carbon nanotube carriers.,10,447-455,공동저자,valid,valid,valid
SEO JUN SUNG,서준성,Elf18-induced long noncoding RNA 1 evicts fibrillarin from mediator subunit to enhance PR1 expression.,4,2067-2079,제1저자,invalid (0.86),valid,valid
SEO JUN SUNG,서준성,PLANT U-BOX PROTEIN 10 negatively regulates abscisic acid response in Arabidopsis,4,39,제1저자,valid,valid,valid
SEO JUN SUNG,서준성,Heterologous expression of bacterial trehalose biosynthetic genes enhances trehalose accumulation in potato plants without adverse growth effects,7,409-418,공동저자,valid,valid,valid
SEO JUN SUNG,서준성,Arabidopsis Ubiquitin-specific Proteases UBP12 and UBP13 shape ORE1 Levels during Leaf Senescence induced by Nitrogen Deficiency.,5,1447-1460,공동저자,valid,valid,valid
SEO JUN SUNG,서준성,Regulation of flowering time by SPL10/MED25 module in Arabidopsis,10,493-504,공동저자,valid,valid,valid
SEO JUN SUNG,서준성,Real-time detection of wound-induced H2O2 signalling waves in plants with optical nanosensors.,13,404?415,공동저자,valid,invalid,valid
Jung Hwajin,정화진,"Sexually dimorphic behavior, neuronal activity, and gene expression in Chd8-mutant mice",29,1218-1228,제1저자,valid,valid,valid
Jung Hwajin,정화진,Early correction of NMDAR function improves autistic-like social behaviors in adult Shank2-/- mice,30,534-543,공동저자,invalid (0.86),valid,valid
Jung Hwajin,정화진,NGL-1/LRRC4C deletion moderately suppresses hippocampal synapse development and function but strongly suppresses anxiety-like behavior and spatial and,14,Article 119,공동저자,unknown--,unknown--,unknown--
Jung Hwajin,정화진,"SynGO: an evidence-based, expert-curated knowledgebase for the synapse",73,217-234,공동저자,unknown--,unknown--,unknown--
Jung Hwajin,정화진,NGL-1/LRRC4C-mutant mice display hyperactivity and anxiolytic-like behavior associated with widespread suppression of neuronal activity,11,Article 250,공동저자,valid,invalid,valid
Jung Hwajin,정화진,Splice-dependent trans-synaptic PTPδ-IL1RAPL1 interaction regulates synapse formation and non-REM sleep,15,e104150,제1저자,valid,valid,invalid
Kim Hyun Jin,김현진,Virus-Mimicking Chimaeric Polymersomes Boost Targeted Cancer siRNA Therapy In Vivo,8,1703285,공동저자,valid,valid,valid
Kim Hyun Jin,김현진,Nanoparticle delivery of Cas9 ribonucleoprotein and donor DNA in vivo induces homology-directed DNA repair,22,889-901,공동저자,valid,valid,valid
Kim Hyun Jin,김현진,Tuned Density of Anti-Tissue Factor Antibody Fragment onto siRNA- Loaded Polyion Complex Micelles for Optimizing Targetability into Pancreatic Cancer,11,2320-2329,제1저자,valid,valid,invalid
Kim Hyun Jin,김현진,Small Delivery Vehicles of siRNA for Enhanced Cancer Targeting,4,2377-2390,제1저자,valid,valid,valid
