,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,
23,Cucurbit[7]uril-conjugated dyes as live cell imaging probes: investigation on their cellular uptake and excretion pathways,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=54&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Kim K,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Li Meng, Lee Ara, Kim Sungwan, Shrinidhi Annadka, Park Kyeng Min, Kim Kimoon",6215-6220,Article,ORGANIC & BIOMOLECULAR CHEMISTRY,
24,Cucurbit[n]uril-based amphiphiles that self-assemble into functional nanomaterials for therapeutics,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=57&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Kim K,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Park Kyeng Min, Hur Moon Young, Ghosh Suman Kr, Boraste Deepak Ramdas, Kim Sungwan, Kim Kimoon",10654-10664,Review,CHEMICAL COMMUNICATIONS,
25,Superacid-Mediated Functionalization of Hydroxylated Cucurbit[n]urils,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=60&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,"Kim K, Park KM","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Ghosh Suman Kr, Dhamija Avinash, Ko Young Ho, An Jaeyeon, Hur Moon Young, Boraste Deepak Ramdas, Seo Jongcheol, Lee Eunsung, Park Kyeng Min, Kim Kimoon",17503-17506,Article,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,
26,Bio-orthogonal Supramolecular Latching inside Live Animals and Its Application for in Vivo Cancer Imaging,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=63&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Kim K,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Li Meng, Kim Sungwan, Lee Ara, Shrinidhi Annadka, Ko Young Ho, Lim Hae Gyun, Kim Hyung Ham, Bae Ki Beom, Park Kyeng Min, Kim Kimoon",43920-43927,Article,ACS APPLIED MATERIALS & INTERFACES,
27,Supra-blot: an accurate and reliable assay for detecting target proteins with a synthetic host molecule-enzyme hybrid,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=65&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,"Kim K, Rhee HW","ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Sung Gihyun, Lee Song-Yi, Kang Myeong-Gyun, Kim Kyung Lock, An Jaeyeon, Sim Jaehwan, Kim Sungwan, Kim Seungjoon, Ko Jaewon, Rhee Hyun-Woo",1549-1552,Article,CHEMICAL COMMUNICATIONS,
28,Template-Free Mesoporous Electrochromic Films on Flexible Substrates from Tungsten Oxide Nanorods,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=67&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Milliron DJ,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Heo Sungyeon, Kim Jongwook, Ong Gary K., Milliron Delia J.",5756-5761,Article,NANO LETTERS,
29,High Mobility in Nanocrystal-Based Transparent Conducting Oxide Thin Films,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=70&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Milliron DJ,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Kim Byung Hyo, Staller Corey M., Cho Shin Hum, Heo Sungyeon, Garrison Carrie E., Kim Jongwook, Milliron Delia J.",3200-3208,Article,ACS NANO,
30,Competition between Depletion Effects and Coupling in the Plasmon Modulation of Doped Metal Oxide Nanocrystals,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=73&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Milliron DJ,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Tandon Bharat, Agrawal Ankit, Heo Sungyeon, Milliron Delia J.",2012-2019,Article,NANO LETTERS,
31,Wide Dynamic Range in Tunable Electrochromic Bragg Stacks from Doped Semiconductor Nanocrystals,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=76&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Milliron DJ,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Heo Sungyeon, Agrawal Ankit, Milliron Delia J.",1904555,Article,ADVANCED FUNCTIONAL MATERIALS,
32,Solvothermally-synthesized tin-doped indium oxide plasmonic nanocrystals spray-deposited onto glass as near-infrared electrochromic films,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=79&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Maho A,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Maho Anthony, Lamela Laura Comeron, Henrist Catherine, Henrard Luc, Tizei Luiz H. G., Kociak Mathieu, Stephan Odile, Heo Sungyeon, Milliron Delia J., Vertruyen Benedicte",UNSP 110014,Article,SOLAR ENERGY MATERIALS AND SOLAR CELLS,
