,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
822,203008,60,PCF 파일 기반 AR/VR 모델 생성 방법 연구,이경호 /Kyungho Lee,한국CDE학회,"이정민 /LEE JUNG MIN, 남병욱 /NAM BYEONG WOOK, 이재준 /LEE JAE JOON, 한영수 /YOUNG-SOO HAN",311-319,0,한국CDE학회 논문집,2019.09,"이정민 /LEE JUNG MIN[인하대학교 산업과학기술연구소], 이경호 /Kyungho Lee[인하대학교 조선해양공학과], 남병욱 /NAM BYEONG WOOK[인하대학교], 이재준 /LEE JAE JOON[인하대학교], 한영수 /YOUNG-SOO HAN[인하대학교]",valid
823,203009,53,0,0,0,0,0,0,0,0,0,unknown--
824,203009,54,0,0,0,0,0,0,0,0,0,unknown--
825,203009,55,대기측정장치 L-형 Pitot Probe 공력 해석,이승수 /Seungsoo Lee,한국전산유체공학회,"송영원, 안계현, 김성수",79-87,0,한국전산유체공학회지,2019.03,"송영원[인하대학교 항공우주공학과], 이승수 /Seungsoo Lee[인하대학교], 안계현[인하대학교], 김성수[용비에이티 기술지원부]",valid
826,203009,56,A Computational Study of Wall Effects on the Aeroelastic Behavior of Spanwise Flexible Wings,이승수 /Seungsoo Lee,한국항공우주학회,"Namhun Lee, 조해성 /Haeseong Cho, 신상준 /Shin， Sangjoon",596-610,0,International Journal of Aeronautical and Space Sciences,2019.09,"Namhun Lee[Hanwha Defense System], 이승수 /Seungsoo Lee[인하대학교], 조해성 /Haeseong Cho[서울대학교 정밀기계설계공동연구소], 신상준 /Shin， Sangjoon[서울대학교]",valid
827,203009,57,0,0,0,0,0,0,0,0,0,unknown--
828,203009,58,Analysis of Flow Oscillation Due to Sidewall of Three-Dimensional Supersonic Open Cavity Flow,박수형 /Soo Hyung Park,한국항공우주학회,"김태욱 /Tae Uk Kim, 유동옥 /Dong Ok Yu, 유흥철 /Heung Cheol You",839-849,0,International Journal of Aeronautical and Space Sciences,2019.12,"김태욱 /Tae Uk Kim[건국대학교], 박수형 /Soo Hyung Park[건국대학교], 유동옥 /Dong Ok Yu[국방과학연구소 제7기술연구본부 2부], 유흥철 /Heung Cheol You[국방과학연구소]",valid
829,203009,59,방빙 시스템의 히터에 대한 열해석,이승수 /Seungsoo Lee,한국항공우주학회,"김민수 /Minsoo Kim, 장윤석 /Yunseok Jang, 강대일, 정윤수 /Yunsoo Jeong, 김성수, 한동건",541-548,0,한국항공우주학회지,2019.08,"김민수 /Minsoo Kim[인하대학교], 장윤석 /Yunseok Jang[인하대학교], 이승수 /Seungsoo Lee[인하대학교], 강대일[LIG 넥스원], 정윤수 /Yunsoo Jeong[LIG 넥스원], 김성수[용비AT], 한동건[국방과학연구소]",valid
830,203010,222,0,0,0,0,0,0,0,0,0,unknown--
831,203010,223,0,0,0,0,0,0,0,0,0,unknown--
