,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title,0
2617,2617,219017,1,How does hepatic steatosis affect the outcome of patients with chronic hepatitis B?(Editorial),Lee J.-W.,Korean Association for the Study of the Liver,"Yu Jung-hwan, Lee Jin Woo",280-282,Editorial,Clinical and Molecular HepatologyOpen Access,September 2019,"Yu Jung-hwan[Inha University Hospital], Lee Jin Woo[Inha University Hospital]",valid,0
2618,2618,219017,2,Prediction model for hepatocellular carcinoma risk in treatment-naive chronic hepatitis B patients receiving entecavir/tenofovir,Jin Y.-J.,Lippincott Williams and Wilkins,"Yu Junghwan, Suh Young-ju, Jin Youngjoo, Heo Nae-yun, Jang Ji-woong, You Chan-ran, An Hyun-young, Lee Jin Woo",865-872,Article,European Journal of Gastroenterology and Hepatology,1 July 2019,"Yu Junghwan[Inha University Hospital], Suh Young-ju[Inha University], Jin Youngjoo[Inha University Hospital], Heo Nae-yun[Inje University Paik Hospital], Jang Ji-woong[Eulji University], You Chan-ran[The Catholic University of Korea], An Hyun-young[Korea University], Lee Jin Woo[Inha University Hospital]",valid,0
2619,2619,219017,3,Effective therapeutic options for elderly patients with hepatocellular carcinoma: A nationwide cohort study,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Shin Jongbeom, Yu Jung-hwan, Jin Youngjoo, Suh Young-ju, Kim Deuck Hwa, Byun Seyoun, Lee Jin Woo",e16150,Article,MedicineOpen Access,1 July 2019,"Shin Jongbeom[Inha University Hospital], Yu Jung-hwan[Inha University Hospital], Jin Youngjoo[Inha University Hospital], Suh Young-ju[Inha University], Kim Deuck Hwa[Inha University], Byun Seyoun[University of Utah School of Medicine], Lee Jin Woo[Inha University Hospital]",valid,0
2620,2620,219017,4,Comparison of survival outcomes of alcohol-related hepatocellular carcinoma with or without liver cirrhosis; A ten-year experience,Jin Y.-J.,Lippincott Williams and Wilkins,"Shin Jongbeom, Yu Jung-hwan, Jin Youngjoo, Chae Myoung Hun, Yoon Changhwi, Lee Jin Woo",e18020,Article,Medicine (United States)Open Access,1 November 2019,"Shin Jongbeom[Inha University Hospital], Yu Jung-hwan[Inha University Hospital], Jin Youngjoo[Inha University Hospital], Chae Myoung Hun[Inha University Hospital], Yoon Changhwi[Inha University Hospital], Lee Jin Woo[Inha University Hospital]",valid,0
2621,2621,219017,5,Aromatase Inhibitors and Newly Developed Nonalcoholic Fatty Liver Disease in Postmenopausal Patients with Early Breast Cancer: A Propensity Score-Matched Cohort Study,Lee J.I.,Wiley-Blackwell,"Lee Jeong-il, Yu Junghwan, Anh Sung Gwe, Lee Hyunwoong, Jeong Joon, Lee Kwan-sik",e653-e661,Article,Oncologist,2019,"Lee Jeong-il[Severance Hospital], Yu Junghwan[Inha University Hospital], Anh Sung Gwe[Severance Hospital], Lee Hyunwoong[Severance Hospital], Jeong Joon[Severance Hospital], Lee Kwan-sik[Severance Hospital]",valid,0
2622,2622,219018,9,Effect of Fluvastatin on Cardiovascular Complications in Kidney Transplant Patients: A Systemic Review and Meta-analysis,Song J.H.,Elsevier USA,"Hwang Seundeuk, Lee Jin-ho, Jhee Jong-hyun, Kim Yoon-ji, Park K. M., Kim Joong-kyung, Lee Seoungwoo, Song Joon-ho",2710-2713,Article,Transplantation Proceedings,October 2019,"Hwang Seundeuk[Inha University], Lee Jin-ho[Division of Nephrology], Jhee Jong-hyun[Severance Hospital], Kim Yoon-ji[Mediplex Sejong Hospital], Park K. M.[Inha University], Kim Joong-kyung[Bong Seng Memorial Hospital], Lee Seoungwoo[Kyungpook National University], Song Joon-ho[Inha University]",valid,0
2623,2623,219018,10,"Erratum: Effectiveness of Antithymocyte Globulin Induction Dosing Regimens in Kidney Transplantation Patients: A Network Meta-analysis (Transplantation Proceedings (2019) 51(8) (2606–2610), (S0041134519302751), (10.1016/j.transproceed.2019.04.079))(Erratum)",Copyright 2019 Elsevier B.V. All rights reserved.,Elsevier USA,0,3481,Erratum,Transplantation Proceedings,December 2019,0,valid,0
2624,2624,219018,11,Efficacy and Safety of Ultra-Low-Dose Valganciclovir Chemoprophylaxis for Cytomegalovirus Infection in High-Risk Kidney Transplantation Patients,Hwang S.D.,Elsevier USA,"Lee Jin-ho, Kim Hee-yeoun, Lee Dongyeol, Kim Yoon-ji, Lee Hee Ryong, Oh Joon-seok, Sin Yong-hun, Kim Joong-kyung, Hwang Seundeuk",2689-2692,Article,Transplantation Proceedings,October 2019,"Lee Jin-ho[Division of Nephrology], Kim Hee-yeoun[Bongseng Memorial Hospital], Lee Dongyeol[Bongseng Memorial Hospital], Kim Yoon-ji[Mediplex Sejong Hospital], Lee Hee Ryong[Maryknoll Medical Center], Oh Joon-seok[Bongseng Memorial Hospital], Sin Yong-hun[Bongseng Memorial Hospital], Kim Joong-kyung[Bong Seng Memorial Hospital], Hwang Seundeuk[Inha University]",valid,0
2625,2625,219018,12,Impact of body mass index on survival in patients undergoing peritoneal dialysis: Analysis of data from the Insan Memorial End-Stage Renal Disease Registry of Korea (1985–2014),Lee S.W.,The Korean Society of Nephrology,"Hwang Seundeuk, Lee Jin-ho, Jhee Jong-hyun, Song Joon-ho, Kim Joong-kyung, Lee Seoungwoo",239-249,Article,Kidney Research and Clinical PracticeOpen Access,2019,"Hwang Seundeuk[Inha University], Lee Jin-ho[Division of Nephrology], Jhee Jong-hyun[Severance Hospital], Song Joon-ho[Inha University], Kim Joong-kyung[Bong Seng Memorial Hospital], Lee Seoungwoo[Kyungpook National University]",valid,0
2626,2626,219018,13,Inhibition of lymphatic proliferation by the selective VEGFR-3 inhibitor SAR131675 ameliorates diabetic nephropathy in db/db mice,Park C.W.,Nature Publishing Group,"Hwang Seundeuk, Song Joon-ho, Kim Yonggoo, Lim Ji-hee, Kim Minyoung, Kim Eun-nim, Hong Yuah, Chung Sungjin, Choi Beom-soon, Kim Yong-soo, Park Cheol-whee",219,Article,Cell Death and DiseaseOpen Access,1 March 2019,"Hwang Seundeuk[Inha University], Song Joon-ho[Inha University], Kim Yonggoo[The Catholic University of Korea], Lim Ji-hee[The Catholic University of Korea], Kim Minyoung[The Catholic University of Korea], Kim Eun-nim[The Catholic University of Korea], Hong Yuah[The Catholic University of Korea], Chung Sungjin[The Catholic University of Korea], Choi Beom-soon[The Catholic University of Korea], Kim Yong-soo[The Catholic University of Korea], Park Cheol-whee[The Catholic University of Korea]",valid,0
