,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title,0
1668,1668,209728,30,"The association between low Vitamin D status and autoimmune thyroid disease in Korean premenopausal women: The 6th Korea national health and nutrition examination survey, 2013-2014",Lee Y.J.,Korean Journal of Family Medicine,"Kim Choon-young, Lee Yeon-ji, Choi Jiho, Lee Soo-yeon, Lee Hye-young, Jeong Da-hye, Choi Yeon-jun",323-328,Article,Korean Journal of Family MedicineOpen Access,1 September 2019,"Kim Choon-young[Inha University], Lee Yeon-ji[Inha University], Choi Jiho[Soonchunhyang University], Lee Soo-yeon[Inha University], Lee Hye-young[Inha University], Jeong Da-hye[Inha University], Choi Yeon-jun[Inha University]",valid,0
1669,1669,209728,32,0,0,0,0,0,0,0,0,0,unknown--,0
1670,1670,209728,33,0,0,0,0,0,0,0,0,0,unknown--,0
1671,1671,209729,29,0,0,0,0,0,0,0,0,0,unknown--,0
1672,1672,210041,48,Bio-orthogonal fluorinated resist for biomolecules patterning applications,Chatzichristidi M.,Elsevier B.V.,"Machairioti Fotini, Petrou Panagiota S., Oh Hyuntaek, Lee Jin-kyun, Kakabakos Sotirios Elias, Argitis Panagiotis, Chatzichristidi Margarita",208-213,Article,Colloids and Surfaces B: Biointerfaces,1 June 2019,"Machairioti Fotini[Demokritos National Centre for Scientific Research], Petrou Panagiota S.[Demokritos National Centre for Scientific Research], Oh Hyuntaek[Inha University], Lee Jin-kyun[Inha University], Kakabakos Sotirios Elias[Demokritos National Centre for Scientific Research], Argitis Panagiotis[Demokritos National Centre for Scientific Research], Chatzichristidi Margarita[National and Kapodistrian University of Athens]",valid,0
1673,1673,210041,49,"High-mobility, trap-free charge transport in conjugated polymer diodes",Nikolka M.,Nature Publishing Group,"Nikolka Mark, Broch Katharina, Armitage John, Hanifi David A., Nowack J. Peer, Venkateshvaran Deepak, Sadhanala Aditya, Saska Jan, Mascal Mark, Jung Seok-heon, Lee Jin-kyun, McCulloch Iain, Salleo Alberto, Sirringhaus Henning",2122,Article,Nature CommunicationsOpen Access,1 December 2019,"Nikolka Mark[Department of Physics], Broch Katharina[Universität Tübingen], Armitage John[Department of Physics], Hanifi David A.[Stanford University], Nowack J. Peer[Imperial College London], Venkateshvaran Deepak[Department of Physics], Sadhanala Aditya[University of Oxford], Saska Jan[University of California], Mascal Mark[University of California], Jung Seok-heon[Inha University], Lee Jin-kyun[Inha University], McCulloch Iain[King Abdullah University of Science and Technology], Salleo Alberto[Stanford University], Sirringhaus Henning[Department of Physics]",valid,0
1674,1674,210041,50,Ion Gel Dynamic Templates for Large Modulation of Morphology and Charge Transport Properties of Solution-Coated Conjugated Polymer Thin Films,Diao Y.,American Chemical Society,"Mohammadi Erfan, Zhao Chuankai, Zhang Fengjiao, Qu Ge, Jung Seok-heon, Zhao Qiujie, Evans Christopher M., Lee Jin-kyun, Shukla Diwakar, Diao Ying",2019,Article,ACS Applied Materials and Interfaces,2019,"Mohammadi Erfan[University of Illinois at Urbana-Champaign], Zhao Chuankai[University of Illinois at Urbana-Champaign], Zhang Fengjiao[University of Illinois at Urbana-Champaign], Qu Ge[University of Illinois at Urbana-Champaign], Jung Seok-heon[Inha University], Zhao Qiujie[University of Illinois at Urbana-Champaign], Evans Christopher M.[University of Illinois at Urbana-Champaign], Lee Jin-kyun[Inha University], Shukla Diwakar[University of Illinois at Urbana-Champaign], Diao Ying[University of Illinois at Urbana-Champaign]",valid,0
1675,1675,210041,51,"Tuning conformation, assembly, and charge transport properties of conjugated polymers by printing flow",Diao Y.,American Association for the Advancement of Science,"Park Kyung-sun, Kwok Justin J., Dilmurat Rishat, Qu Ge, Kafle Prapti, Luo Xuyi, Jung Seok-heon, Olivier Yoann, Lee Jin-kyun, Mei Jianguo, Beljonne David, Diao Ying",eaaw7757,Article,Science AdvancesOpen Access,9 August 2019,"Park Kyung-sun[University of Illinois at Urbana-Champaign], Kwok Justin J.[University of Illinois at Urbana-Champaign], Dilmurat Rishat[Université de Bordeaux], Qu Ge[University of Illinois at Urbana-Champaign], Kafle Prapti[University of Illinois at Urbana-Champaign], Luo Xuyi[Purdue University], Jung Seok-heon[Inha University], Olivier Yoann[Université de Mons], Lee Jin-kyun[Inha University], Mei Jianguo[Purdue University], Beljonne David[Université de Mons], Diao Ying[University of Illinois at Urbana-Champaign]",valid,0
1676,1676,210041,52,Effect of dispersant on encapsulated phthalocyanine/polymer nanoparticles via mini-emulsion polymerization,Jin H.-J.,Polymer Society of Korea,"Kwak Hyo-won, Han Jaehun, Hong Yeonkyung, Eom Jungju, Lee Jin-kyun, Jin Hyoung-Joon",716-721,Article,Polymer (Korea),September 2019,"Kwak Hyo-won[Seoul National University], Han Jaehun[Inha University], Hong Yeonkyung[Inha University], Eom Jungju[Inha University], Lee Jin-kyun[Inha University], Jin Hyoung-Joon[Inha University]",valid,0
1677,1677,210041,53,Highly fluorinated organic–inorganic nanocomposites with improved refractive index and photopatterning properties,Lee J.-K.,Elsevier B.V.,"Son Jongchan, Kim Youngtae, Lee Jin-kyun, Kim Soo-kang, Koo Wonhoe, Yoon Jonggeun, Yang Joon-young",109388,Article,Journal of Fluorine Chemistry,November 2019,"Son Jongchan[Inha University], Kim Youngtae[Inha University], Lee Jin-kyun[Inha University], Kim Soo-kang[LG Display Co.], Koo Wonhoe[LG Display Co.], Yoon Jonggeun[LG Display Co.], Yang Joon-young[LG Display Co.]",valid,0
1678,1678,210041,54,Highly fluorinated barium titanate nanoparticle dispersion for fabrication of lithographically patterned thin films,Lee J.-K.,MDPI AG,"Kim Youngtae, Kim Heejin, Oh Hyuntaek, Kim Sangwon, Lee Jin-kyun",4045,Article,MaterialsOpen Access,1 December 2019,"Kim Youngtae[Inha University], Kim Heejin[Inha University], Oh Hyuntaek[Inha University], Kim Sangwon[Inha University], Lee Jin-kyun[Inha University]",valid,0
1679,1679,210041,55,Imaging behavior of highly fluorinated molecular resists under extreme UV radiation,Lee J.-K.,SPIE,"Oh Hyuntaek, Jung Seok-heon, Mun Jeong-seok, Lee Jin-kyun, Kim Kanghyun, Lee Sangsul",1096012,Conference Paper,Proceedings of SPIE - The International Society for Optical Engineering,2019,"Oh Hyuntaek[Inha University], Jung Seok-heon[Inha University], Mun Jeong-seok[Inha University], Lee Jin-kyun[Inha University], Kim Kanghyun[Pohang University of Science and Technology], Lee Sangsul[Pohang University of Science and Technology]",valid,0
1680,1680,210042,45,0,0,0,0,0,0,0,0,0,unknown--,0
1681,1681,210042,46,0,0,0,0,0,0,0,0,0,unknown--,0
1682,1682,210043,13,Electric Field Computation in Unbounded Domain Using Axial Green Function Method,Kim D.W.,Institute of Electrical and Electronics Engineers Inc.,"Jo Junhong, Kim Hong-kyu, Kwak Changseob, Kim Dowan",8667048,Article,IEEE Transactions on Magnetics,June 2019,"Jo Junhong[Inha University], Kim Hong-kyu[Korea Electrotechnology Research Institute], Kwak Changseob[Korea Electrotechnology Research Institute], Kim Dowan[Inha University]",valid,0
1683,1683,210044,68,Single particle mineralogy of microparticles from Himalayan ice-cores using SEM/EDX and ATR-FTIR imaging techniques for identification of volcanic ash signatures,Ro C.-U.,Elsevier B.V.,"Malek Md Abdul, Eom Hyo-jin, Hwang Heejin, Hur Soon-do, Hong Sungmin, Hou Shugui, Ro Chul Un",205-215,Article,Chemical Geology,20 January 2019,"Malek Md Abdul[Inha University], Eom Hyo-jin[Inha University], Hwang Heejin[Korea Polar Research Institute], Hur Soon-do[Korea Polar Research Institute], Hong Sungmin[Inha University], Hou Shugui[Nanjing University], Ro Chul Un[Inha University]",valid,0
1684,1684,210044,69,Plutonium fallout reconstructed from an Antarctic Plateau snowpack using inductively coupled plasma sector field mass spectrometry,Han Y.,Elsevier B.V.,"Hwang Heejin, Hur Soon-do, Lee Jeonghoon, Han Yeongcheol, Hong Sungmin, Motoyama Hideaki",505-511,Article,Science of the Total Environment,15 June 2019,"Hwang Heejin[Korea Polar Research Institute], Hur Soon-do[Korea Polar Research Institute], Lee Jeonghoon[Ewha Womans University], Han Yeongcheol[Korea Polar Research Institute], Hong Sungmin[Inha University], Motoyama Hideaki[The Graduate University for Advanced Studies]",valid,0
1685,1685,210044,70,"Characteristic concentrations and isotopic composition of airborne lead at urban, rural and remote sites in western Korea",Hong S.,Elsevier Ltd,"Lee Sanghee, Shin Daechol, Han Changhee, Choi Kwang-sik, Hur Soon-do, Lee Jooyoung, Byun Do-seong, Kim Young-taeg, Hong Sungmin",113050,Article,Environmental Pollution,November 2019,"Lee Sanghee[Inha University], Shin Daechol[Inha University], Han Changhee[Korea Polar Research Institute], Choi Kwang-sik[Jeju National University], Hur Soon-do[Korea Polar Research Institute], Lee Jooyoung[Korea Hydrographic and Oceanographic Agency], Byun Do-seong[Korea Hydrographic and Oceanographic Agency], Kim Young-taeg[Korea Hydrographic and Oceanographic Agency], Hong Sungmin[Inha University]",valid,0
1686,1686,210044,71,A 300-Year High-Resolution Greenland Ice Record of Large-Scale Atmospheric Pollution by Arsenic in the Northern Hemisphere,Hong S.,American Chemical Society,"Lee Khanghyun, Han Changhee, Hong Sangbum, Jun Seong-joon, Han Yeongcheol, Xiao Cunde, Du Zhiheng, Hur Soon-do, Lee Jong-ik, Boutron Claude F., Hong Sungmin",2019,Article,Environmental Science and Technology,2019,"Lee Khanghyun[Korea Polar Research Institute], Han Changhee[Korea Polar Research Institute], Hong Sangbum[Korea Polar Research Institute], Jun Seong-joon[Korea Polar Research Institute], Han Yeongcheol[Korea Polar Research Institute], Xiao Cunde[Beijing Normal University], Du Zhiheng[Chinese Academy of Sciences], Hur Soon-do[Korea Polar Research Institute], Lee Jong-ik[Korea Polar Research Institute], Boutron Claude F.[Universite Grenoble Alpes], Hong Sungmin[Inha University]",valid,0
1687,1687,210045,18,0,0,0,0,0,0,0,0,0,unknown--,0
1688,1688,210045,19,0,0,0,0,0,0,0,0,0,unknown--,0
1689,1689,210045,20,0,0,0,0,0,0,0,0,0,unknown--,0
1690,1690,210045,21,0,0,0,0,0,0,0,0,0,unknown--,0
1691,1691,210047,48,0,0,0,0,0,0,0,0,0,unknown--,0
1692,1692,210047,49,0,0,0,0,0,0,0,0,0,unknown--,0
1693,1693,210048,24,0,0,0,0,0,0,0,0,0,unknown--,0
1694,1694,210051,44,Feasibility of Bronchial Washing Fluid-Based Approach to Early-Stage Lung Cancer Diagnosis,Ryu J.-S.,Wiley-Blackwell,"Ryu Jeong-seon, Lim Jun-hyeok, Lee Myoung-kyu, Lee Seungjae, Kim Hyunjung, Kim Minjeong, Park Mihwa, Kim Jung-soo, Nam Haesung Seong, Park Nuri, Yong Seok-joong",e603-e606,Article,Oncologist,July 2019,"Ryu Jeong-seon[Inha University Hospital], Lim Jun-hyeok[Inha University Hospital], Lee Myoung-kyu[Yonsei University], Lee Seungjae[DNA Link], Kim Hyunjung[Keimyung University (KU)], Kim Minjeong[Inha University Hospital], Park Mihwa[Inha University Hospital], Kim Jung-soo[Inha University Hospital], Nam Haesung Seong[Inha University Hospital], Park Nuri[Inha University Hospital], Yong Seok-joong[Inha University Hospital]",valid,0
1695,1695,210051,45,"Case of both rivaroxaban- and dabigatran-induced leukocytoclastic vasculitis, during management of pulmonary thromboembolism",Lee H.L.,W.B. Saunders Ltd,"Lee Hong-lyeol, Kim Lucia, Kim Cheol-woo, Kim Jung-soo, Nam Haesung Seong, Ryu Jeong-seon",219-222,Article,Respiratory Medicine Case ReportsOpen Access,1 January 2019,"Lee Hong-lyeol[Inha University], Kim Lucia[Inha University Hospital], Kim Cheol-woo[Inha University], Kim Jung-soo[Inha University Hospital], Nam Haesung Seong[Inha University Hospital], Ryu Jeong-seon[Inha University Hospital]",valid,0
1696,1696,210052,50,Relation of blood pressure variability to left ventricular function and arterial stiffness in hypertensive patients,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Shin Sung-hee, Jang Ji-hoon, Baek Yong-soo, Kwon Sungwoo, Park Sang-don, Woo Seong-ill, Kim Daehyeok, Kwan Jun",427-431,Article,Singapore medical journal,1 August 2019,"Shin Sung-hee[Inha University Hospital], Jang Ji-hoon[Inha University], Baek Yong-soo[Inha University Hospital], Kwon Sungwoo[Inha University Hospital], Park Sang-don[Inha University Hospital], Woo Seong-ill[Inha University Hospital], Kim Daehyeok[Inha University Hospital], Kwan Jun[Inha University Hospital]",valid,0
1697,1697,210052,54,Angiotensin Receptor Neprilysin Inhibitor for Functional Mitral Regurgitation: PRIME Study,Kang D.-H.,Lippincott Williams and Wilkins,"Kang Duck-hyun, Park Sung-ji, Shin Sung-hee, Hong Geu-ru, Lee Sahmin, Kim Min-seok, Yun Sungcheol, Song Jong-min, Park Seung-woo, Kim Jae-joong",1354-1365,Article,Circulation,12 March 2019,"Kang Duck-hyun[University of Ulsan], Park Sung-ji[SungKyunKwan University], Shin Sung-hee[Inha University Hospital], Hong Geu-ru[Severance Hospital], Lee Sahmin[University of Ulsan], Kim Min-seok[Ulsan University], Yun Sungcheol[University of Ulsan], Song Jong-min[University of Ulsan], Park Seung-woo[SungKyunKwan University], Kim Jae-joong[University of Ulsan]",valid,0
1698,1698,210053,28,HS-173 as a novel inducer of RIP3-dependent necroptosis in lung cancer,Hong S.-S.,Elsevier Ireland Ltd,"Park Jung-hee, Jung Kyung-hee, Kim Soo-jung, Yoon Young-chan, Yan Honghua, Fang Zhenghuan, Lee Ji-eun, Lim Joohan, Mah Shinmee, Hong Sungwoo, Kim You-sun, Hong Soonsun",94-104,Article,Cancer Letters,1 March 2019,"Park Jung-hee[Inha University], Jung Kyung-hee[Inha University], Kim Soo-jung[Inha University], Yoon Young-chan[Inha University], Yan Honghua[Inha University], Fang Zhenghuan[Inha University], Lee Ji-eun[Inha University], Lim Joohan[Inha University Hospital], Mah Shinmee[Inha University], Hong Sungwoo[Institute for Basic Science], Kim You-sun[Ajou University], Hong Soonsun[Inha University]",valid,0
1699,1699,210053,31,Surrogate decision making of chemotherapy consent: Do we really provide informed consent of chemotherapy for patients?,Kim D.Y.,Korean Association of Internal Medicine,"Kwon Jung Hye, Baek Seon-kyung, Kim Bong-seog, Koh Sujin, Ahn Hee-kyung, Lim Joohan, Lim Chiyeon, Kim Do-yeun",626-633,Article,Korean Journal of Internal Medicine,May 2019,"Kwon Jung Hye[Hallym University], Baek Seon-kyung[Kyung Hee Medical Center], Kim Bong-seog[Veterans Health Service Medical Center], Koh Sujin[University of Ulsan], Ahn Hee-kyung[Gachon University], Lim Joohan[Inha University Hospital], Lim Chiyeon[Dongguk University Ilsan Hospital], Kim Do-yeun[Dongguk University Ilsan Hospital]",valid,0
1700,1700,210053,35,Effect of study-level factors on treatment-free remission rate in patients with chronic myeloid leukemia: a systematic review and meta-analysis,Cho J.,Springer Tokyo,"Kim Jinchul, Park Jisun, Moon Yeonsook, Choi Suk-jin, Lim Joohan, Lee Moonhee, Cho Jinhyun",683-689,Article,International Journal of Hematology,1 December 2019,"Kim Jinchul[SungKyunKwan University], Park Jisun[Inha University], Moon Yeonsook[Inha University], Choi Suk-jin[Inha University], Lim Joohan[Inha University Hospital], Lee Moonhee[Inha University], Cho Jinhyun[Inha University Hospital]",valid,0
1701,1701,210053,36,Relative Efficacy of Systemic Treatments for Patients with Advanced Hepatocellular Carcinoma According to Viral Status: A Systematic Review and Network Meta-Analysis,Kim J.,Springer-Verlag France,"Park Jisun, Cho Jinhyun, Lim Joohan, Lee Moonhee, Kim Jinchul",395-403,Review,Targeted Oncology,1 August 2019,"Park Jisun[Inha University], Cho Jinhyun[Inha University Hospital], Lim Joohan[Inha University Hospital], Lee Moonhee[Inha University], Kim Jinchul[SungKyunKwan University]",valid,0
1702,1702,210053,37,An integrative data mining and omics-based translational model for the identification and validation of oncogenic biomarkers of pancreatic cancer,Kwon S.W.,MDPI AG,"Long Nguyen Phuoc, Jung Kyung-hee, Anh Nguyen Hoang, Yan Honghua, Nghi Tran Diem, Park Seongoh, Yoon Sang-jun, Min Jung-eun, Kim Hyungmin, Lim Joohan, Kim Joon-mee, Lim Johan, Lee Sanghyuk, Hong Soonsun, Kwon Sung-won",155,Article,CancersOpen Access,2019,"Long Nguyen Phuoc[Seoul National University], Jung Kyung-hee[Inha University], Anh Nguyen Hoang[Seoul National University], Yan Honghua[Inha University], Nghi Tran Diem[Pohang University of Science and Technology], Park Seongoh[Seoul National University], Yoon Sang-jun[Seoul National University], Min Jung-eun[Seoul National University], Kim Hyungmin[Seoul National University], Lim Joohan[Inha University Hospital], Kim Joon-mee[Inha University], Lim Johan[Seoul National University], Lee Sanghyuk[Ewha Womans University], Hong Soonsun[Inha University], Kwon Sung-won[Seoul National University]",valid,0
1703,1703,210055,57,Ultra-low-dose neck CT with low-dose contrast material for preoperative staging of thyroid cancer: Image quality and diagnostic performance,Baik S.K.,American Roentgen Ray Society,"Yeom Jeong A., Roh Jieun, Jeong Yeongjoo, Lee Jinchoon, Kim Hyun-yul, Suh Young-ju, Baik Seung-kug",748-754,Article,American Journal of Roentgenology,April 2019,"Yeom Jeong A.[Pusan National University], Roh Jieun[Pusan National University], Jeong Yeongjoo[Pusan National University], Lee Jinchoon[Pusan National University], Kim Hyun-yul[Pusan National University], Suh Young-ju[Inha University], Baik Seung-kug[Pusan National University]",valid,0
1704,1704,210055,58,Treatment options for isolated iliac artery aneurysms and their impact on aortic diameter after treatment,Lee T.,Korean Surgical Society,"Kim Jang-yong, Kim Daehwan, Quan Cheng, Suh Youngju, Ann Hyunyoung, Kim Jiil, Moon In-sung, Lee Taeseung",146-151,Article,Annals of Surgical Treatment and ResearchOpen Access,March 2019,"Kim Jang-yong[The Catholic University of Korea], Kim Daehwan[Seoul National University Bundang Hospital], Quan Cheng[The Catholic University of Korea], Suh Youngju[Inha University], Ann Hyunyoung[Korea University], Kim Jiil[Uijeongbu St. Mary's Hospital], Moon In-sung[The Catholic University of Korea], Lee Taeseung[Seoul National University Bundang Hospital]",valid,0
1705,1705,210055,59,"Relationship between current smoking, visual CT findings and emphysema index in cigarette smokers",Jou S.S.,Elsevier Inc.,"Jou Sungshick Shiick, Yagihashi Kunihiro, Zach Jordan Alexander, Lynch David A., Suh Young-ju",195-199,Article,Clinical Imaging,January - February 2019,"Jou Sungshick Shiick[Soonchunhyang University], Yagihashi Kunihiro[Saint Marianna University School of Medicine Yokohama City Seibu Hospital], Zach Jordan Alexander[National Jewish Health], Lynch David A.[National Jewish Health], Suh Young-ju[Inha University]",valid,0
1706,1706,210055,60,Asymptomatic systemic air embolism after CT-guided percutaneous transthoracic needle biopsy,Rho J.Y.,Elsevier Inc.,"Jang Hyunkyung, Rho Ji-young, Suh Young-ju, Jeong Yeongjoo",49-57,Article,Clinical Imaging,January - February 2019,"Jang Hyunkyung[College of Medicine], Rho Ji-young[College of Medicine], Suh Young-ju[Inha University], Jeong Yeongjoo[Pusan National University]",valid,0
1707,1707,210055,61,Prediction model for hepatocellular carcinoma risk in treatment-naive chronic hepatitis B patients receiving entecavir/tenofovir,Jin Y.-J.,Lippincott Williams and Wilkins,"Yu Junghwan, Suh Young-ju, Jin Youngjoo, Heo Nae-yun, Jang Ji-woong, You Chan-ran, An Hyun-young, Lee Jin Woo",865-872,Article,European Journal of Gastroenterology and Hepatology,1 July 2019,"Yu Junghwan[Inha University Hospital], Suh Young-ju[Inha University], Jin Youngjoo[Inha University Hospital], Heo Nae-yun[Inje University Paik Hospital], Jang Ji-woong[Eulji University], You Chan-ran[The Catholic University of Korea], An Hyun-young[Korea University], Lee Jin Woo[Inha University Hospital]",valid,0
1708,1708,210055,62,Efficacy of volumetric analysis of aorta as surveillance tool after EVAR,Kim J.Y.,Elsevier (Singapore) Pte Ltd,"Quan Cheng, Oh Youn-kyung, Park Sun-cheol, Won Yong-sung, Yun Sangseob, Suh Young-ju, Kim Jang-yong",746-754,Article,Asian Journal of SurgeryOpen Access,July 2019,"Quan Cheng[The Catholic University of Korea], Oh Youn-kyung[Korea University], Park Sun-cheol[The Catholic University of Korea], Won Yong-sung[The Catholic University of Korea], Yun Sangseob[The Catholic University of Korea], Suh Young-ju[Inha University], Kim Jang-yong[The Catholic University of Korea]",valid,0
1709,1709,210055,63,Evaluating the outcome of multi-morbid patients cared for by hospitalists: A report of integrated medical model in Korea,Kim A.J.,Korean Academy of Medical Science,"Lee Jung-hwan, Kim Ahjin, Kyong Tae-young, Jang Jihun, Park Jeongmi, Lee Jeong-hoon, Lee Man-jong, Kim Jung-soo, Suh Young-ju, Kwon Seongryul, Kim Cheol-woo",e179,Article,Journal of Korean Medical ScienceOpen Access,2019,"Lee Jung-hwan[Inha University Hospital], Kim Ahjin[Inha University Hospital], Kyong Tae-young[Severance Hospital], Jang Jihun[Inha University Hospital], Park Jeongmi[Inha University Hospital], Lee Jeong-hoon[Inha University Hospital], Lee Man-jong[Inha University Hospital], Kim Jung-soo[Inha University Hospital], Suh Young-ju[Inha University], Kwon Seongryul[Inha University], Kim Cheol-woo[Inha University]",valid,0
1710,1710,210055,64,Effective therapeutic options for elderly patients with hepatocellular carcinoma: A nationwide cohort study,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Shin Jongbeom, Yu Jung-hwan, Jin Youngjoo, Suh Young-ju, Kim Deuck Hwa, Byun Seyoun, Lee Jin Woo",e16150,Article,MedicineOpen Access,1 July 2019,"Shin Jongbeom[Inha University Hospital], Yu Jung-hwan[Inha University Hospital], Jin Youngjoo[Inha University Hospital], Suh Young-ju[Inha University], Kim Deuck Hwa[Inha University], Byun Seyoun[University of Utah School of Medicine], Lee Jin Woo[Inha University Hospital]",valid,0
1711,1711,210055,65,Association of serum uric acid with cardiovascular disease risk scores in Koreans,Jung K.-H.,MDPI AG,"Lee Seung-yun, Park Won, Suh Young-ju, Lim Mie-jin, Kwon Seongryul, Lee Joo-hyun, Joo Young-bin, Oh Youn-kyung, Jung Kyong-hee",4632,Article,International Journal of Environmental Research and Public HealthOpen Access,1 December 2019,"Lee Seung-yun[Inha University], Park Won[Inha University], Suh Young-ju[Inha University], Lim Mie-jin[Inha University], Kwon Seongryul[Inha University], Lee Joo-hyun[Inje University], Joo Young-bin[The Catholic University of Korea], Oh Youn-kyung[Inha University], Jung Kyong-hee[Inha University]",valid,0
1712,1712,210055,66,Inter-observer Reproducibility in the Pathologic Diagnosis of Gastric Intraepithelial Neoplasia and Early Carcinoma in Endoscopic Submucosal Dissection Specimens: A Multi-center Study,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Kim Joon-mee, Sohn Jin-hee, Cho Mee-yon, Kim Wooho, Chang Heekyung, Jung Eun-sun, Kook Myeongcherl Cheorl, Jin Soyoung, Chae Yangseok, Park Youngsoo, Kang Miseon, Kim Hyunki, Lee Jae-hyuk, Park Do-young, Kim Kyoung-mee, Kim Hoguen, Suh Young-ju, Seol Sangyong Young, Jung Hwoon-yong, Kim Deuck Hwa, Lee Na-rae, Park Seung-hee, You Ji-hye",1568-1577,Article,Cancer research and treatment : official journal of Korean Cancer AssociationOpen Access,1 October 2019,"Kim Joon-mee[Inha University], Sohn Jin-hee[SungKyunKwan University], Cho Mee-yon[Yonsei University Wonju Campus], Kim Wooho[Seoul National University College of Medicine], Chang Heekyung[Kosin University], Jung Eun-sun[The Catholic University of Korea], Kook Myeongcherl Cheorl[National Cancer Center], Jin Soyoung[Soonchunhyang University], Chae Yangseok[Korea University Medical Center], Park Youngsoo[Seoul National University Bundang Hospital], Kang Miseon[Inje University Paik Hospital], Kim Hyunki[Yonsei University College of Medicine], Lee Jae-hyuk[Chonnam National University], Park Do-young[Saint Maria Pathology], Kim Kyoung-mee[SungKyunKwan University], Kim Hoguen[Yonsei University College of Medicine], Suh Young-ju[Inha University], Seol Sangyong Young[Inje University Paik Hospital], Jung Hwoon-yong[University of Ulsan], Kim Deuck Hwa[Inha University], Lee Na-rae[National Evidence-based Healthcare Collaborating Agency], Park Seung-hee[National Evidence-based Healthcare Collaborating Agency], You Ji-hye[National Evidence-based Healthcare Collaborating Agency]",valid,0
1713,1713,210055,67,Association between serum uric acid and metabolic syndrome in Koreans,Suh Y.J.,Korean Academy of Medical Science,"Jeong Jihyun, Suh Young-ju",e307,Article,Journal of Korean Medical ScienceOpen Access,1 December 2019,"Jeong Jihyun[Inha University], Suh Young-ju[Inha University]",valid,0
1714,1714,210055,68,Presence of carotid plaque is associated with rapid renal function decline in patients with type 2 diabetes mellitus and normal renal function,Nam M.,Korean Diabetes Association,"Seo Da-hea, Kim So-hun, Song Joon-ho, Hong Seongbin, Suh Young-ju, Ahn Seong-hee, Woo Jeongtaek, Baik Seihyun, Park Yongsoo, Lee Kwanwoo, Kim Youngseol, Nam Moonsuk",840-853,Article,Diabetes and Metabolism JournalOpen Access,1 December 2019,"Seo Da-hea[Inha University], Kim So-hun[Inha University], Song Joon-ho[Inha University], Hong Seongbin[Inha University], Suh Young-ju[Inha University], Ahn Seong-hee[Inha University], Woo Jeongtaek[Kyung Hee University], Baik Seihyun[Korea University], Park Yongsoo[School of Molecular and Cellular Biology], Lee Kwanwoo[Ajou University], Kim Youngseol[Kyung Hee University], Nam Moonsuk[Inha University]",valid,0
1715,1715,210229,35,Extensive digital contractures caused by gout,Jung K.-H.,Turkish League Against Rheumatism (TLAR),"Lee Seung-yun, Park Won, Kwon Seongryul, Kim Yeoju, Lim Mie-jin, Jo Minjae, Jung Kyong-hee",119-121,Letter,Archives of RheumatologyOpen Access,March 2019,"Lee Seung-yun[Inha University], Park Won[Inha University], Kwon Seongryul[Inha University], Kim Yeoju[Inha University], Lim Mie-jin[Inha University], Jo Minjae[Inha University], Jung Kyong-hee[Inha University]",valid,0
1716,1716,210229,36,Efficacy and safety of tocilizumab in Korean patients with active rheumatoid arthritis,Song Y.-W.,Korean Association of Internal Medicine,"Baek Han-joo, Lim Mie-jin, Park Won, Park Sung-hwan, Shim Seung Cheol, Yoo Daehyun, Kim Hyun-ah, Lee Soo-kon, Lee Yung-jong, Park Young-eun, Cha Hoon-suk, Song Yeong-wook",917-931,Article,Korean Journal of Internal Medicine,2019,"Baek Han-joo[Gachon University], Lim Mie-jin[Inha University], Park Won[Inha University], Park Sung-hwan[The Catholic University of Korea], Shim Seung Cheol[Chungnam National University], Yoo Daehyun[Hanyang University], Kim Hyun-ah[Hallym University], Lee Soo-kon[Yonsei University College of Medicine], Lee Yung-jong[Seoul National University Bundang Hospital], Park Young-eun[Pusan National University], Cha Hoon-suk[SungKyunKwan University], Song Yeong-wook[Seoul National University College of Medicine]",valid,0
1717,1717,210230,20,Blood pressure variability and hemorrhagic transformation in patients with successful recanalization after endovascular recanalization therapy: A retrospective observational study,Ko S.-B.,John Wiley and Sons Inc.,"Kim Taejung, Park Hee-kwon, Kim Jeongmin, Lee Ji-sung, Park Soo-hyun, Jeong Hae-bong, Park Kwang-yeol, Rha Joung-ho, Yoon Byoungwoo, Ko Sang-bae",574-581,Article,Annals of Neurology,April 2019,"Kim Taejung[Seoul National University Hospital], Park Hee-kwon[Inha University], Kim Jeongmin[Chung-Ang University], Lee Ji-sung[Asan Medical Center], Park Soo-hyun[Seoul National University Hospital], Jeong Hae-bong[Seoul National University Hospital], Park Kwang-yeol[Chung-Ang University], Rha Joung-ho[Inha University Hospital], Yoon Byoungwoo[Seoul National University Hospital], Ko Sang-bae[Seoul National University Hospital]",valid,0
1718,1718,210232,23,Integrating Sustainability into the Optimization of Fuel Logistics Networks,Pourhejazy P.,Springer Verlag,"Pourhejazy Pourya, Kwon Oh-kyoung, Lim Hyunwoo",1369-1383,Article,KSCE Journal of Civil Engineering,1 March 2019,"Pourhejazy Pourya[National Taipei University of Technology], Kwon Oh-kyoung[Inha University], Lim Hyunwoo[Inha University]",valid,0
