,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
86,"조록싸리 종내 분류군과 잡종의 분류학적 연구
Taxonomic study on infraspecific taxa of Lespedeza maximowiczii and hybrids with related species",0,최병희 /CHOI BYOUNGHEE,: 한국식물분류학회,"진동필 /Dong Pil Jin, 박종원 /Jong-Won PARK",300-318,0,식물분류학회지,2019.12,,1
87,0,0,0,0,0,0,0,0,0,,0
88,0,0,0,0,0,0,0,0,0,,0
89,0,0,0,0,0,0,0,0,0,,0
90,0,0,0,0,0,0,0,0,0,,0
91,0,0,0,0,0,0,0,0,0,,0
92,"2015년 국내에서 분리된 살모넬라의 혈청형 및 항균제 감수성
Serotyping and Antimicrobial Susceptibility of Salmonella Isolated in Korea in 2015",0,신정환 /Jeong Hwan Shin,: 대한임상미생물학회,"김시현 /Si Hyun Kim, 박은희 /Eunhee Park, 황인영 /In Yeong Hwang, 이혁민 /Hyukmin Lee, 송새암 /Song Sae Am, 이미애 /LEE， MI-AE, 이승옥 /LEE SEUNG OK, 김수영 /Soo-Young Kim, 김진주 /Jin-Jo Kim, 신종희 /JONG HEE SHIN, 홍성근 /Seong Geun Hong, 신경섭 /Kyeong Seob Shin, 김선주 /Sun Joo Kim, 류남희 /Ryoo， Nam Hee, 이운형 /Lee Woon Hyoung, 장숙진 /Jang， Sook-Jin",55-60,0,Annals of Clinical Microbiology,2019.09,,1
93,0,0,0,0,0,0,0,0,0,,0
94,0,0,0,0,0,0,0,0,0,,0
95,0,0,0,0,0,0,0,0,0,,0
96,0,0,0,0,0,0,0,0,0,,0
97,0,0,0,0,0,0,0,0,0,,0
98,0,0,0,0,0,0,0,0,0,,0
99,0,0,0,0,0,0,0,0,0,,0
100,0,0,0,0,0,0,0,0,0,,0
101,0,0,0,0,0,0,0,0,0,,0
102,"유기합성실험실 연구자의 단위작업별 노출 평가
Task-based Exposure Assessment among Laboratory workers in Organic Synthesis Laboratories",0,박정임 /Jeongim Park,: 한국산업보건학회,"최영은 /Youngeun Choi, 추연희 /Yeonhee Chu, 이익모 /Ik Mo Lee",1-12,0,한국산업보건학회지,2019.03,,1
103,"의료기관 화재사고의 근본원인분석과 안전성 향상에 관한 연구
A Study on the Root Cause Analysis and Safety Improvement for Fire Accidents in Medical Institutions",0,이익모 /Ik Mo Lee,: 한국위험물학회,"김홍관, 천영우 /CHON YOUNG WOO, 황용우 /YONG WOO HWANG",36-43,0,한국위험물학회지,2019.06,,1
104,"항만 내 컨테이너 위험물 저장 시 위험성 평가 및 개선방안
A Study on Improvement for Risk Assessment of Container Dangerous Goods Storage in Port",0,황용우 /YONG WOO HWANG,: 한국위험물학회,"신가영, 김서은, 이익모 /Ik Mo Lee, 천영우 /CHON YOUNG WOO",1-9,0,한국위험물학회지,2019.06,,1
