,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
30,30,188065,289,Recent Progress in Direct Conversion of Methane to Methanol Over Copper-Exchanged Zeolites,Ahn WS(corresponding author),"FRONTIERS MEDIA SA, AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","Park Min Bum, Park Eun Duck, Ahn Wha-Seung",514,Review,FRONTIERS IN CHEMISTRY,JUL 17 2019,"Park Min Bum[Incheon Natl Univ], Ahn Wha-Seung[Inha Univ]",valid
31,31,188065,290,MgFeAl layered double hydroxide prepared from recycled industrial solid wastes for CO2 fixation by cycloaddition to epoxides,"Wang Q(corresponding author), Ahn WS(corresponding author)","ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Zhang Siqian, Wang Qiang, Puthiaraj Pillaiyar, Ahn Wha-Seung",395-403,Article,JOURNAL OF CO2 UTILIZATION,DEC 2019,"Zhang Siqian[Inha Univ], Wang Qiang[Beijing Forestry Univ], Puthiaraj Pillaiyar[Inha Univ], Ahn Wha-Seung[Inha Univ]",valid
32,32,188065,296,Adsorption properties of advanced functional materials against gaseous formaldehyde,"Kwon EE(corresponding author), Kim KH(corresponding author)","ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA","Vikrant Kumar, Cho Minkyu, Khan Azmatullah, Kim Ki-Hyun, Ahn Wha-Seung, Kwon Eilhann E.",108672,Article,ENVIRONMENTAL RESEARCH,NOV 2019,"Vikrant Kumar[Hanyang Univ], Cho Minkyu[Hanyang Univ], Khan Azmatullah[Balochistan Univ Informat Technol Engn & Manageme], Kim Ki-Hyun[Hanyang Univ], Ahn Wha-Seung[Inha Univ], Kwon Eilhann E.[Sejong Univ]",valid
33,33,188065,297,Application of Zr-Cluster-Based MOFs for the Adsorptive Removal of Aliphatic Aldehydes (C-1 to C-5) from an Industrial Solvent,Kim KH(corresponding author),"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Vikrant Kumar, Deng Ya-Xin, Kim Ki-Hyun, Younis Sherif A., Boukhvalov Danil W., Ahn Wha-Seung, Deep Akash",44270-44281,Article,ACS APPLIED MATERIALS & INTERFACES,NOV 27 2019,"Vikrant Kumar[Hanyang Univ], Kim Ki-Hyun[Hanyang Univ], Ahn Wha-Seung[Inha Univ], Deep Akash[CSIO]",valid
34,34,188065,298,Oxygen-Deficient NiFe2O4 Spinel Nanoparticles as an Enhanced Electrocatalyst for the Oxygen Evolution Reaction,Baeck SH(corresponding author),"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Lim Dongwook, Kong Hyungseok, Kim Namil, Lim Chaewon, Ahn Wha-Seung, Baeck Sung-Hyeon",1296-1302,Article,CHEMNANOMAT,OCT 2019,"Lim Dongwook[Inha Univ], Kong Hyungseok[Inha Univ], Kim Namil[Inha Univ], Lim Chaewon[Inha Univ], Ahn Wha-Seung[Inha Univ], Baeck Sung-Hyeon[Inha Univ]",valid
35,35,188065,299,Poly(amidoamine) dendrimer immobilized on mesoporous silica foam (MSF) and fibrous nano-silica KCC-1 for Gd3+ adsorption in water,Ahn WS(corresponding author),"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Lee Yu-Ri, Zhang Siqian, Yu Kwangsun, Choi Jinsub, Ahn Wha-Seung",122133,Article,CHEMICAL ENGINEERING JOURNAL,DEC 15 2019,"Zhang Siqian[Inha Univ], Yu Kwangsun[Inha Univ], Choi Jinsub[Inha Univ], Ahn Wha-Seung[Inha Univ]",valid
36,36,188072,768,Conformance control in oil reservoir based on magnetorheological behavior of nanoparticle suspension,"Choi HJ(corresponding author), Chon BH(corresponding author)","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND","Esmaeilnezhad Ehsan, Van Si Le, Choi Hyoung Jin, Chon Bo Hyun, Schaffie Mahin, Gholizadeh Mostafa, Ranjbar Mohammad",1127-1134,Article,JOURNAL OF ENVIRONMENTAL MANAGEMENT,FEB 1 2019,"Van Si Le[Inha Univ], Choi Hyoung Jin[Inha Univ], Chon Bo Hyun[Inha Univ], Gholizadeh Mostafa[Ferdowsi Univ Mashhad]",valid
37,37,188072,781,Fabrication and electro-responsive electrorheological characteristics of rice husk-based nanosilica suspension,"Choi HJ(corresponding author), Vu CM(corresponding author)","ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Kwon Seung Hyuk, Park In Hye, Cuong Manh Vu, Choi Hyoung Jin",432-437,Article,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,FEB 2019,"Kwon Seung Hyuk[Inha Univ], Park In Hye[Inha Univ], Choi Hyoung Jin[Inha Univ]",valid
38,38,188072,782,Polymer-Magnetic Composite Particles of Fe3O4/Poly(o-anisidine) and Their Suspension Characteristics under Applied Magnetic Fields,Choi HJ(corresponding author),"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Lee Jin Hee, Lu Qi, Lee Jae Yun, Choi Hyoung Jin",219,Article,POLYMERS,FEB 2019,"Lee Jin Hee[Inha Univ], Lu Qi[Inha Univ], Lee Jae Yun[Inha Univ], Choi Hyoung Jin[Inha Univ]",valid
39,39,188072,783,Synthesis and thermal analysis of hydrophobic iron oxide nanoparticles for improving in-situ combustion efficiency of heavy oils,"Esmaeilnezhad E(corresponding author), Choi HJ(corresponding author)","ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA","Esmaeilnezhad Ehsan, Karimian Milad, Choi Hyoung Jin",402-409,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,MAR 25 2019,"Karimian Milad[Razi Univ], Choi Hyoung Jin[Inha Univ]",valid
