,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
48,Fabrication of Magnetite Nanoparticle-embedded Polystyrene Composites and Their Additive Role on the Dynamic Properties of Carbonyl Iron-based Magneto-rheological Fluids,0,Choi HJ,"KOREAN MAGNETICS SOC, KOREA SCIENCES & TECHNOL CTR, RM 905, YEOKSAM-DONG 635-4, KANGNAM-KU, SEOUL, 135-703, SOUTH KOREA","Gao Chun Yan, Lu Qi, Choi Hyoung Jin, Kim Nam Hui, You Chun Yeol",162-167,Article; Proceedings Paper,JOURNAL OF MAGNETICS,Mar-19,,1
49,Micron-Size White Bamboo Fibril-Based Silane Cellulose Aerogel: Fabrication and Oil Absorbent Characteristics,0,"Vu CM, Choi HJ","MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Dinh Duc Nguyen, Cuong Manh Vu, Huong Thi Vu, Choi Hyoung Jin",1407,Article,MATERIALS,MAY 1 2019,,1
50,Poly(glycidyl methacrylate) Coated Soft-Magnetic Carbonyl Iron/Silicone Rubber Composite Elastomer and Its Magnetorheology,0,Choi HJ,"POLYMER SOC KOREA, ROOM 601, HATCHON BUILDING, 831 YEOKSAM-DONG, KANGNAM-KU, SEOUL 135-792, SOUTH KOREA","Kwon Seung Hyuk, An Ji Su, Choi So Yeon, Chung Kyoung Ho, Choi Hyoung Jin",448-453,Article,MACROMOLECULAR RESEARCH,May-19,,1
51,Recent development of electro-responsive smart electrorheological fluids,0,"Choi HJ, Seo Y","ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Dong Yu Zhen, Seo Yongsok, Choi Hyoung Jin",3473-3486,Review,SOFT MATTER,MAY 7 2019,,1
52,Viscoelastic and mechanical behaviors of magneto-rheological carbonyl iron/natural rubber composites with magnetic iron oxide nanoparticle,0,Choi HJ,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Kwon Seung Hyuk, Lee Chul Joo, Choi Hyoung Jin, Chung Kyung Ho, Jung Jae Heum",45012,Article,SMART MATERIALS AND STRUCTURES,Apr-19,,1
53,Spontaneous Phase Separation of Poly(3-hexylthiophene)s with Different Regioregularity for a Stretchable Semiconducting Film,0,Yang H,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Gao Chun Yan, Pei Mingyuan, Choi Hyoung Jin, Yang Hoichang",1903163,Article,ADVANCED FUNCTIONAL MATERIALS,Aug-19,,1
54,Role of calcium carbonate as an interfacial compatibilizer in the magneto-rheological elastomers based on ethylene/acrylic elastomer (AEM) and its magneto-induced properties,0,"Wang S, Chung K","IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Gao Tianming, Chen Jing, Hui Yonghai, Wang Sheng, Choi Hyoung Jin, Chung Kyungho",85320,Article,MATERIALS RESEARCH EXPRESS,Aug-19,,1
55,Rheological and mechanical properties of polypropylene composites containing microfibrillated cellulose (MFC) with improved compatibility through surface silylation,0,Nam JD,"SPRINGER, VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Kim Sung-Hoon, Kim Eui-Su, Choi Kisuk, Cho Jung Keun, Sun Hanna, Yoo Ji Wang, Park In-Kyung, Lee Youngkwan, Choi Hyouk Ryeol, Kim Taesung",1085-1097,Article,CELLULOSE,Jan-19,,1
56,Non-Einstein Viscosity Phenomenon of Acrylonitrile-Butadiene-Styrene Composites Containing Lignin-Polycaprolactone Particulates Highly Dispersed by High-Shear Stress,0,Nam JD,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Kim Sung-Hoon, Choi Kisuk, Choi Hyouk Ryeol, Kim Taesung, Suhr Jonghwan, Kim Kwang Jin, Choi Hyoung Jin, Nam Jae-Do",10036-10043,Article,ACS OMEGA,Jun-19,,1
57,Quantitative Electrode Design Modeling of an Electroadhesive Lifting Device Based on the Localized Charge Distribution and Interfacial Polarization of Different Objects,0,Nam JD,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Choi Kisuk, Kim Ye Chan, Sun Hanna, Kim Sung-Hoon, Yoo Ji Wang, Park In-Kyung, Lee Pyoung-Chan, Choi Hyoung Jin, Choi Hyouk Ryeol, Kim Taesung",7994-8000,Article,ACS OMEGA,May-19,,1
58,Quantitative characterization of a voltage-dependent pseudocapacitance on heteroatom-enriched nanoporous carbons,0,"Yun YS, Jin HJ","PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Han Jae Kyeong, Lee Min Eui, Choi Hyoung Jin, Jin Hyoung-Joon, Yun Young Soo",71-77,Article,ELECTROCHIMICA ACTA,APR 10 2019,,1
59,Polyindole nanoparticle-based electrorheological fluid and its green and clean future potential conformance control technique to oil fields,0,"Esmaeilnezhad E, Choi HJ","ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Esmaeilnezhad Ehsan, Choi Hyoung Jin",1218-1225,Article,JOURNAL OF CLEANER PRODUCTION,SEP 10 2019,,1
60,Graphene Oxide and Its Inorganic Composites: Fabrication and Electrorheological Response,0,Choi HJ,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Dong Yu Zhen, Kim Joo Nyeon, Choi Hyoung Jin",2185,Review,MATERIALS,JUL 1 2019,,1
61,"Comment on 'Synthesis, characterization and magnetorheological study of 3-aminopropyltriethoxysilane-modified Fe3O4 nanoparticles'",0,Choi HJ,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Lee Jae Yun, Choi Hyoung Jin",88001,Editorial Material,SMART MATERIALS AND STRUCTURES,Aug-19,,1
62,Raman spectroscopy study of solution-processed In2O3 thin films: effect of annealing temperature on the characteristics of In2O3 semiconductors and thin-film transistors,0,"Seo CH, Park J","TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","Lee Hyeonju, Kim Bokyung, Gao Chun Yan, Choi Hyoung Jin, Ko Jae-Hyun, Seo Cheong Hoon, Park Jaehoon",38-47,Article; Proceedings Paper,MOLECULAR CRYSTALS AND LIQUID CRYSTALS,JAN 22 2019,,1
63,Effects of dispersion state on rheological and electrical characteristics of concentrated multiwalled carbon nanotube suspensions,0,Choi HJ,"KOREAN SOC RHEOLOGY, KOREA SCI TECHNOLOGY CENTER, 635-4 YUKSAM-DONG, STE 806, KANGNAM-GOO, SEOUL 135-703, SOUTH KOREA","Kim Min Hwan, Kwon Seung Hyuk, Choi Hyoung Jin",179-186,Article,KOREA-AUSTRALIA RHEOLOGY JOURNAL,Aug-19,,1
64,Nanosilica Extracted from Hexafluorosilicic Acid of Waste Fertilizer as Reinforcement Material for Natural Rubber: Preparation and Mechanical Characteristics,0,"Vu CM, Choi HJ","MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Van-Huy Nguyen, Cuong Manh Vu, Choi Hyoung Jin, Bui Xuan Kien",2707,Article,MATERIALS,Sep-19,,1
65,Electrorheological Characteristics of Poly(diphenylamine)/magnetite Composite-Based Suspension,0,Choi HJ,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Dong Yu Zhen, Choi Hyoung Jin",2911,Article,MATERIALS,Sep-19,,1
66,Toughness and rheological characteristics of poly(lactic acid)/acrylic core-shell rubber blends,0,Choi HJ,"SPRINGER, ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","Lee Jae Yun, Kwon Seung Hyuk, Chin In-Joo, Choi Hyoung Jin",5483-5497,Article,POLYMER BULLETIN,Nov-19,,1
67,Facile fabrication of core-shell typed silica/poly(diphenylamine) composite microparticles and their electro-response,0,"Lee JH, Choi HJ","ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Jang Hyo Seon, Kwon Seung Hyuk, Lee Jin Hyun, Choi Hyoung Jin",121851,Article,POLYMER,NOV 7 2019,,1
68,Effect of medium viscosity on rheological characteristics of magnetite-based magnetorheological fluids,0,"Esmaeilnezhad E, Choi HJ","ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Esmaeilnezhad Ehsan, Hajiabadi Seyed Hasan, Choi Hyoung Jin",197-204,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,DEC 25 2019,,1
69,"Highly Tough, Biocompatible, and Magneto-Responsive Fe3O4/Laponite/PDMAAm Nanocomposite Hydrogels",0,"Lee JH, Choi HJ","NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Lee Jin Hyun, Han Wen Jiao, Jang Hyo Seon, Choi Hyoung Jin",15024,Article,SCIENTIFIC REPORTS,OCT 21 2019,,1
70,Synthesis of conducting polymeric nanoparticles in the presence of a polymerizable surfactant and their electrorheological response,0,Choi HJ,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA","Han Wen Jiao, Choi Hyoung Jin",781-784,Article,COLLOID AND POLYMER SCIENCE,May-19,,1
71,Stimuli-Responsive Graphene Oxide-Polymer Nanocomposites,0,"Lee JH, Choi HJ","POLYMER SOC KOREA, ROOM 601, HATCHON BUILDING, 831 YEOKSAM-DONG, KANGNAM-KU, SEOUL 135-792, SOUTH KOREA","Lu Qi, Jang Hyo Seon, Han Wen Jiao, Lee Jin Hyun, Choi Hyoung Jin",1061-1070,Review,MACROMOLECULAR RESEARCH,Nov-19,,1
72,Suspensions of Hollow Polydivinylbenzene Nanoparticles Decorated with Fe3O4 Nanoparticles as Magnetorheological Fluids for Microfluidics Applications,0,"Choi HJ, Seo Y","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Choi Junsok, Han Sangsok, Kim Hoyeon, Sohn Eun-Ho, Choi Hyoung Jin, Seo Yongsok",6939-6947,Article,ACS APPLIED NANO MATERIALS,Nov-19,,1
73,Microfibrillated Cellulose Suspension and Its Electrorheology,0,Choi HJ,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Choi Kisuk, Nam Jae Do, Kwon Seung Hyuk, Choi Hyoung Jin, Islam Md Sakinul, Kao Nhol",2119,Article,POLYMERS,Dec-19,,1
